Jugador,ID,Total Pueblos,OFFs FULL,OFFs MEDIA,Total Hachas,Total Ligeras,Total Arq.Caballo,Total Arietes,Total Catapultas,Pob. Ofensiva Total
,MEDIA,010 Payet (497|508) C54,,3219,1910,173,208,31,13012
,MEDIA,013 Payet (498|509) C54,,3124,1715,164,247,40,12359
,MEDIA,016 Payet (488|519) C54,,3853,1636,0,295,47,12248
,MEDIA,020 Payet (496|517) C54,,3605,1914,0,164,30,12321
,MEDIA,024 Payet (494|524) C54,,3361,1781,0,300,50,12385
,MEDIA,027 Payet (489|519) C54,,3347,1850,0,218,40,12157
Inception,1951509,70,4,6,88502,43068,3,6508,1195,302889
,FULL,BollitoZzZ (469|511) C54,,6497,2999,3,400,120,21468
,FULL,BollitoZzZ (469|500) C54,,6264,2942,0,400,119,20984
,FULL,BollitoZzZ (475|498) C44,,4127,2801,0,363,113,18050
,FULL,ZzZ (477|487) C44,,5498,2632,0,370,111,18764
,MEDIA,003 (491|570) C54,,3001,1599,0,346,110,12007
,MEDIA,BollitoZzZ (473|496) C44,,4191,2071,0,380,115,15295
,MEDIA,BollitoZzZ (472|501) C54,,3105,2054,0,258,77,13227
,MEDIA,ZzZ (479|488) C44,,4945,2251,0,243,72,15740
,MEDIA,ZzZ (478|494) C44,,3926,1645,0,300,90,12726
,MEDIA,ZzZ (475|485) C44,,4325,2072,0,400,120,15573
Juanm4,1390210,46,4,2,60383,28338,1769,3725,2368,220149
,FULL,Noble (476|546) C54,,4300,2061,136,358,135,16094
,FULL,Noble (479|539) C54,,4553,2264,140,308,118,16793
,FULL,Noble (469|553) C54,,6445,3073,194,371,148,22746
,FULL,Noble (474|536) C54,,5413,2684,160,241,96,18922
,MEDIA,Noble (470|553) C54,,3271,1700,101,209,83,12285
,MEDIA,Noble (477|542) C54,,4190,2078,134,287,113,15511
lenttt,2122269,26,4,0,46574,23134,226,3126,554,160302
,FULL,1-T- (492|522) C54,,4368,2800,126,343,100,18713
,FULL,1-TT- (495|511) C54,,7218,2800,100,400,110,21798
,FULL,1-TTT- (492|515) C54,,6356,2800,0,397,110,20421
,FULL,1-TTTTT- (491|516) C54,,6085,2632,0,327,105,19088
-Xiki-,934653,38,3,6,63202,29880,179,4408,266,207785
,FULL,004 Pueblo de bonificación (454|512) C54,,6500,3138,0,375,0,20927
,FULL,006 Chocolate un lunes (438|519) C54,,4943,2541,0,299,20,16762
,FULL,101 Pueblo de bonificación (422|526) C54,,5387,2585,74,370,0,17947
,MEDIA,.... (448|518) C54,,3609,2054,0,363,24,13832
,MEDIA,...... (443|516) C54,,3527,1814,0,326,25,12613
,MEDIA,009 Bollito Crudo (448|506) C54,,4794,2275,0,299,20,15549
,MEDIA,BOLLITO ALMACENADO (434|523) C54,,4236,1998,0,291,20,13843
,MEDIA,bollito Crudo (448|510) C54,,4729,2249,0,311,20,15440
,MEDIA,es95 (447|517) C54,,4177,2237,0,370,25,15175
Landstom,2002070,24,3,3,43675,19539,1295,3114,591,148604
,FULL,BoLLiTo 005 (489|515) C54,,6487,2897,200,357,58,21324
,FULL,BoLLiTo 007 (482|512) C54,,5850,2673,199,350,50,19687
,FULL,BoLLiTo 014 (476|493) C44,,5567,2694,240,350,71,19861
,MEDIA,BoLLiTo 009 (474|492) C44,,3415,1599,117,324,49,12408
,MEDIA,BoLLiTo 012 (473|491) C44,,3811,1756,140,350,39,13597
,MEDIA,BoLLiTo 022 (477|489) C44,,3737,1825,138,252,39,13299
Lowasd,2105689,32,3,2,52764,21402,1907,3906,618,172381
,FULL,001 (492|524) C54,,6197,2490,262,435,50,20042
,FULL,004 (495|526) C54,,5587,2529,289,411,50,19603
,FULL,005 (494|515) C54,,6972,2702,300,352,50,21440
,MEDIA,007 (499|520) C54,,4363,1768,240,364,40,14775
,MEDIA,008 (491|524) C54,,3556,1517,180,339,0,12219
Angel117,2130142,24,3,1,35443,15908,874,1965,191,114798
,FULL,Noble 001 (496|519) C54,,6172,2851,250,493,50,21691
,FULL,Noble 003 (499|518) C54,,6916,2883,245,422,49,22175
,FULL,Noble 005 (499|521) C54,,6222,2630,250,316,50,19972
,MEDIA,A003 (501|484) C45,,4164,2095,49,176,12,13765
jonicortes,2124735,44,2,3,53693,28752,172,2980,469,188213
,FULL,bollito bueno,bonito y barato (442|539) C54,,5177,2797,0,299,0,17860
,FULL,bollito bueno,bonito y barato (433|538) C54,,5500,2736,0,300,50,18344
,MEDIA,12monos (445|548) C54,,3173,2073,104,92,44,12797
,MEDIA,ANTI.PEPERO (438|539) C54,,3111,2023,19,264,47,12994
,MEDIA,bollito bueno,bonito y barato (432|545) C54,,3587,1941,0,220,44,12803
Vakna,31459,40,2,2,28494,13243,1527,906,59,94103
,FULL,001 (484|523) C54,,6327,2500,300,412,4,19919
,FULL,007 (499|527) C54,,6298,2500,300,410,20,20008
,MEDIA,008 (480|521) C54,,4118,2263,287,0,0,14605
,MEDIA,014 (484|528) C54,,3937,1773,220,0,0,12129
pikeras,2106805,33,1,2,21732,9154,47,1394,189,67065
,FULL,027 de casrocaravia con amor (466|532) C54,,4446,2368,0,397,49,16295
,MEDIA,008 NOBLE (472|535) C54,,4453,1806,0,250,40,13247
,MEDIA,009 NOBLE (470|535) C54,,4703,1841,0,270,40,13737
Merett,231224,35,1,1,35673,17724,15,3121,293,124593
,FULL,Bollito de canela. (443|538) C54,,5211,3136,0,349,0,19500
,MEDIA,Bollito de canela (446|537) C54,,2879,2502,15,292,3,14446
moyete,2132944,30,1,1,15414,8075,0,1045,199,54531
,FULL,003-Moyete (482|527) C54,,5152,3234,0,447,50,20723
,MEDIA,006-Moyete (489|530) C54,,4612,2387,0,356,0,15940
pepenando,2070726,35,1,1,21315,4986,678,902,149,50351
,FULL,012 (469|540) C54,,5894,2260,285,386,50,18689
,MEDIA,006 (471|515) C54,,5632,1180,154,128,40,12082
rosado49,2093605,57,1,1,36165,18312,0,2896,760,129973
,FULL,ZzZ 1 (455|508) C54,,5463,2750,0,442,100,19473
,MEDIA,002 (441|504) C54,,3288,1733,0,302,80,12370
Aubriel,975475,18,1,0,10470,5595,604,969,10,40795
,FULL,000 (424|551) C54,,4642,2087,299,400,5,16525
Cerdo,2086553,24,1,0,4864,3200,100,441,100,21169
,FULL,001 (480|519) C54,,4614,3025,100,433,100,20179
GeNgHi-kHaN,1100445,7,1,0,5393,4652,0,359,36,26084
,FULL,Fortaleza2 (459|518) C54,,4496,4000,0,306,36,22314
itachi77,1799033,15,1,0,13551,6632,0,663,72,43970
,FULL,01 - Monkey D Luffy (434|564) C54,,6056,3099,0,399,50,20847
Jandry4,1594692,15,1,0,7151,3655,0,797,130,26796
,FULL,Jan_001 (450|528) C54,,5982,3048,0,400,100,20974
Pirate King,1363721,11,1,0,5528,3221,0,222,31,19770
,FULL,pueblo de Pirate King (476|519) C54,,5528,3221,0,222,31,19770
samuel 003,1608453,21,1,0,18315,8667,347,1420,0,61818
,FULL,Villa Viciosa (454|579) C54,,6024,2771,200,422,0,20218
